Port:              P038
Site:              Aberdeen
Latitude:          57.14325
Longitude:         -2.07451
Start Date:        01JAN1947-00.00.00
End Date:          31DEC1947-23.00.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVZZ01 = Surface elevation (unspecified datum) of the water body                      
  Cycle    Date      Time      ASLVZZ01     Residual  
 Number yyyy mm dd hh mi ssf           f            f 
    98) 1947/01/05 01:00:00    -99.0000N    -99.0000N 
    99) 1947/01/05 02:00:00    -99.0000N    -99.0000N 
   100) 1947/01/05 03:00:00    -99.0000N    -99.0000N 
   101) 1947/01/05 04:00:00    -99.0000N    -99.0000N 
   102) 1947/01/05 05:00:00    -99.0000N    -99.0000N 
   103) 1947/01/05 06:00:00    -99.0000N    -99.0000N 
   104) 1947/01/05 07:00:00    -99.0000N    -99.0000N 
   105) 1947/01/05 08:00:00    -99.0000N    -99.0000N 
   106) 1947/01/05 09:00:00    -99.0000N    -99.0000N 
   107) 1947/01/05 10:00:00    -99.0000N    -99.0000N 
   108) 1947/01/05 11:00:00    -99.0000N    -99.0000N 
   109) 1947/01/05 12:00:00    -99.0000N    -99.0000N 
   110) 1947/01/05 13:00:00    -99.0000N    -99.0000N 
   111) 1947/01/05 14:00:00    -99.0000N    -99.0000N 
   112) 1947/01/05 15:00:00    -99.0000N    -99.0000N 
   113) 1947/01/05 16:00:00    -99.0000N    -99.0000N 
   114) 1947/01/05 17:00:00    -99.0000N    -99.0000N 
   115) 1947/01/05 18:00:00    -99.0000N    -99.0000N 
   116) 1947/01/05 19:00:00    -99.0000N    -99.0000N 
   117) 1947/01/05 20:00:00    -99.0000N    -99.0000N 
   118) 1947/01/05 21:00:00    -99.0000N    -99.0000N 
   119) 1947/01/05 22:00:00    -99.0000N    -99.0000N 
   120) 1947/01/05 23:00:00    -99.0000N    -99.0000N 
   121) 1947/01/06 00:00:00    -99.0000N    -99.0000N 
   122) 1947/01/06 01:00:00    -99.0000N    -99.0000N 
   123) 1947/01/06 02:00:00    -99.0000N    -99.0000N 
   124) 1947/01/06 03:00:00    -99.0000N    -99.0000N 
   125) 1947/01/06 04:00:00    -99.0000N    -99.0000N 
   126) 1947/01/06 05:00:00    -99.0000N    -99.0000N 
   127) 1947/01/06 06:00:00    -99.0000N    -99.0000N 
   128) 1947/01/06 07:00:00    -99.0000N    -99.0000N 
   129) 1947/01/06 08:00:00    -99.0000N    -99.0000N 
   130) 1947/01/06 09:00:00    -99.0000N    -99.0000N 
   131) 1947/01/06 10:00:00    -99.0000N    -99.0000N 
   132) 1947/01/06 11:00:00    -99.0000N    -99.0000N 
   133) 1947/01/06 12:00:00    -99.0000N    -99.0000N 
   134) 1947/01/06 13:00:00    -99.0000N    -99.0000N 
   135) 1947/01/06 14:00:00    -99.0000N    -99.0000N 
   136) 1947/01/06 15:00:00    -99.0000N    -99.0000N 
   137) 1947/01/06 16:00:00    -99.0000N    -99.0000N 
   138) 1947/01/06 17:00:00    -99.0000N    -99.0000N 
   139) 1947/01/06 18:00:00    -99.0000N    -99.0000N 
